Process,Periodicity,Status_Today,Status_Legend,Remarks,SourceFile
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11026,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5288,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 93,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2141,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Reconciliation_Job,Monthly,OK,nan,362 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
AutomaticDashboard,Monthly,OK,nan,673 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,166 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,181  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,181  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Ratios Job,Monthly,PDTE,nan,171 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Sections Job,Monthly,PDTE,nan,181 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,666,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Derivative Price Control Process,Daily,OK,nan,666,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:61 N° of TA in MegaCompliance D-1:125,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,1007  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11257,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5380,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 110,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2218,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Reconciliation_Job,Monthly,OK,nan,308 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
AutomaticDashboard,Monthly,OK,nan,688 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Depositary Fees Calculation,Monthly,OK,nan,35 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,154 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,154 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Ratios Job,Monthly,OK,nan,83 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Sections Job,Monthly,PDTE,nan,154  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Derivative Price Control Process,Daily,OK,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:577 N° of TA in MegaCompliance D-1:46,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,882  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -17032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11032,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5291,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 86,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2172,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Reconciliation_Job,Monthly,OK,nan,52 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
AutomaticDashboard,Monthly,OK,nan,673 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,48 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,25  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,25  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Ratios Job,Monthly,PDTE,nan,69 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Sections Job,Monthly,PDTE,nan,27 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,27 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,666,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Derivative Price Control Process,Daily,OK,nan,666,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:57 N° of TA in MegaCompliance D-1:59,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,952  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11242,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5381,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 330,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1021,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Reconciliation_Job,Monthly,OK,nan,75 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
AutomaticDashboard,Monthly,OK,nan,688 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,35 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,31 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,31 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Ratios Job,Monthly,PDTE,nan,83 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Sections Job,Monthly,PDTE,nan,31  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,31 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Derivative Price Control Process,Daily,OK,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:577 N° of TA in MegaCompliance D-1:46,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,1003  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -18032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11048,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5297,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 114,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2191,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Reconciliation_Job,Monthly,OK,nan,108 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
AutomaticDashboard,Monthly,OK,nan,673 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,64 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,55  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,55  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Ratios Job,Monthly,PDTE,nan,96 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Sections Job,Monthly,PDTE,nan,55 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,55 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,666,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Derivative Price Control Process,Daily,PDTE,nan,666,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:88 N° of TA in MegaCompliance D-1:146,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,715  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11271,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5384,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 907,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 779,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Reconciliation_Job,Monthly,OK,nan,7 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
AutomaticDashboard,Monthly,OK,nan,688 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Ratios Job,Monthly,PDTE,nan,103 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Sections Job,Monthly,PDTE,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Derivative Price Control Process,Daily,PDTE,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:98 N° of TA in MegaCompliance D-1:634,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,734  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -19032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10750,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5241,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 54,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1683,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
AutomaticDashboard,Monthly,OK,nan,671 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,178  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,172 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,167  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Ratios Job,Monthly,PDTE,nan,185 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Sections Job,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,209,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Derivative Price Control Process,Daily,PDTE,nan,27,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:41 N° of TA in MegaCompliance D-1:163,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,702  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20012025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11072,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5306,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 339,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2158,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Reconciliation_Job,Monthly,OK,nan,44 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
AutomaticDashboard,Monthly,OK,nan,673 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,12 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,12 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,12 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Ratios Job,Monthly,PDTE,nan,125 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Sections Job,Monthly,PDTE,nan,12 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,12 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,666,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Derivative Price Control Process,Daily,OK,nan,666,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:93 N° of TA in MegaCompliance D-1:195,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,750  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -20022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10765,Control de ejecución de WA y procesos diarios - Megacompliance -21012025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5240,Control de ejecución de WA y procesos diarios - Megacompliance -21012025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 28,Control de ejecución de WA y procesos diarios - Megacompliance -21012025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1702,Control de ejecución de WA y procesos diarios - Megacompliance -21012025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -21012025.xlsx
